# type (r;w;u;1-9),class,name,comment,QQ,ZZ,PBSB,ID,field,part (m;s),type / templates,divider / values,unit,comment,field,part (m;s),type / templates,divider / values,unit,comment,field,part (m;s),type / templates,divider / values,unit,comment,field,part (m;s),type / templates,divider / values,unit,comment
# Globalfunktionen Menü,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r2,,vl_ist,Vorlauf-Waermeerzeuger-00-007,,,,7d800002,hp_vl_ist,,temp4,,,,,,,,,,,,,,,,,,,,,
r2,,vl_soll,Vorlauf-Waermeerzeuger-soll-01-007,,,,7d810002,hp_vl_soll,,temp4,,,,,,,,,,,,,,,,,,,,,
r2,,rl,Ruecklauf-Waermeerzeuger-00-008,,,,7d820002,hp_rl_temp,,temp4,,,,,,,,,,,,,,,,,,,,,
r1,,wq_eintrittstemperatur,Waermequelle-Eintrittstemperatur-00-071,,,,7d830002,wq_temp,,temp4,,,,,,,,,,,,,,,,,,,,,
r2,,heissgastemperatur,Heissgastemperatur-im-Kaeltekreis-00-072,,,,7d840002,hg_temp,,temp4,,,,,,,,,,,,,,,,,,,,,
r1,,verdampfertemperatur,Verdampfertemperatur-im-Kaeltekreis-00-074,,,,7d850002,vd_temp,,temp4,,,,,,,,,,,,,,,,,,,,,
r1,,mode,Status-Waermeerzeuger-02-053,,,,7d860002,status,,UCH,0=Abgeschaltet;1=Heizbetrieb;2=Vorlaufzeit Heizbetrieb;3=Extern gesperrt;4=Kühlbetrieb;5=Vorlaufzeit Kühlbetrieb;6=Vorlaufzeit Abtaubetrieb;7=Abtaubetrieb;8=Stoerung;9=Abtropfen;10=Abtausperrzeit;11=Abtau Vorheizung;12=Abtauen 1;13=Abtauen 2;14=Abtauen 3;15=Alarm;16=Stoerung;17=Blockiert;21=TWVmax Abschaltung;22=TWVsoll Abschaltung;23=TWEmax Abschaltung;24=TWAmin Abschaltung;25=TKAmin Abschaltung;26=Bivalenzabschaltung;27=Warmwasser Ladesperre;28=Minimale Auszeit;29=Minimale Einzeit;36=Passivkuehlung;37=Heizbetrieb angefordert;38=Kuehlbetrieb angefordert;39=Absaugen;40=Oehl Rueckfuehrung,,,,,,,,,,,,,,,,,,,,
r9,,schaltzyklen,Schaltzyklen,,,,7d870002,schaltzyklen,,cycles,,,,,,,,,,,,,,,,,,,,,
r9,,betriebstunden,Betriebsstunden,,,,7d880002,betriebsstunden,,hours,,,,,,,,,,,,,,,,,,,,,
r2,,vl_energiemessung,Vorlauftemperatur Energiemessung,,,,7d8b0002,vl_energie,,temp4,,,,,,,,,,,,,,,,,,,,,
r2,,rl_energiemessung,Rücklauftemperatur Energiemessung,,,,7d8c0002,rl_energie,,temp4,,,,,,,,,,,,,,,,,,,,,
r2,,volumenstrom_hz,HZ-Volumenstrom-Energie-21-002,,,,7d8d0002,hp_strom_hz,,mass,,,,,,,,,,,,,,,,,,,,,
r2,,temp_vl_ww_energie_hg,WW-Temperatur-separate-Energie-21-004,,,,7d8e0002,t_strom_hz,,temp3,,,,,,,,,,,,,,,,,,,,,
r2,,volumenstrom_hg,HG-Volumenstrom-Energie-WW-21-006,,,,7d8f0002,hp_strom_hz,,mass,,,,,,,,,,,,,,,,,,,,,
r9,,heizenergie_kwh,Heizenergie-kWh-23-001,,,,7d900002,heiz_energie_kwh,,energy2,,,,,,,,,,,,,,,,,,,,,
r9,,heizenergie_mwh,Heizenergie-MWh-23-010,,,,7d910002,heiz_energie_mwh,,energy3,,,,,,,,,,,,,,,,,,,,,
r2,,heizleistung_kW,Heizleistung-kW,,,,7d920002,heizleistung,,power1,10,,,,,,,,,,,,,,,,,,,,
r9,,abtauenergie_kwh,Abtauenergie-kWh-23-004,,,,7d930002,abtauenergie_kwh,,energy2,,,,,,,,,,,,,,,,,,,,,
r9,,abtauenergie_mwh,Abtauenergie-MWh-23-011,,,,7d940002,abtauenergie_mwh,,energy3,,,,,,,,,,,,,,,,,,,,,
r9,,ww_energie_kwh,Warmwasserenergie-kWh-23-006,,,,7d950002,ww_energie_kwh,,energy2,,,,,,,,,,,,,,,,,,,,,
r9,,ww_energie_mwh,Warmwasserenergie-MWh-23-013,,,,7d960002,ww_energie_mwh,,energy3,,,,,,,,,,,,,,,,,,,,,
r2,,heizleistung_sep_ww,Heizleistung-separate-WW-Ladung,,,,7d970002,heizleistug_ww,,power1,10,,,,,,,,,,,,,,,,,,,,
r2;w,,abtaustart_manuell,Abtaustart-manuell-15-000,,,,69820002,abtaustart_manuell,,onoff,,,,,,,,,,,,,,,,,,,,,
#r,temperature,outside,Aussentemperatur,,15,0621,00800048,,,temp4,,,,,,temperature,,,,,,,,,,,,,,,
#r,global,uhrzeit,,,15,0622,02c80040,,,,,,,,,,,,,,,,,,,,,,,,
